# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu May 28 09:47:48 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_insol:       Insolation Flux [Earth Flux]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_rad:         Stellar Radius [Solar Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_met:         Stellar Metallicity [dex]
# COLUMN st_metratio:    Stellar Metallicity Ratio
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_gaiamag:     Gaia Magnitude
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_bmassprov,pl_orbeccen,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,ra,dec,sy_dist,sy_gaiamag
2301,Kepler-1114 b,Kepler-1114,1,1,0,Transit,2016,Kepler,14.97435694000,0.1105600000,1.35000000,0.12043893,2.39000000,0.00752000,M-R relationship,0.000000,39.3210,631.00,,5374.00,0.830000,0.870000,-0.0800,[Fe/H],4.550000,299.2370531,45.8347781,418.41700000,13.7579000
2302,Kepler-1115 b,Kepler-1115,1,1,0,Transit,2016,Kepler,23.55407250000,0.2134000000,1.70000000,0.15166384,3.53000000,0.01110000,M-R relationship,0.000000,516.1010,1381.00,,8480.00,1.730000,1.600000,-0.5100,[Fe/H],4.170000,294.9917723,40.1443964,983.24500000,11.8822000
2303,Kepler-1116 b,Kepler-1116,1,1,0,Transit,2016,Kepler,41.69778270000,0.2330000000,2.54000000,0.22660362,6.99000000,0.02200000,M-R relationship,0.000000,15.7930,488.00,,5641.00,0.930000,0.950000,0.0100,[Fe/H],4.480000,291.9336573,44.1154992,1008.57000000,15.2352000
2304,Kepler-1117 b,Kepler-1117,1,1,0,Transit,2016,Kepler,4.79028459000,0.0548500000,1.11000000,0.09902757,1.41000000,0.00444000,M-R relationship,0.000000,194.9760,938.00,,5612.00,0.930000,0.950000,0.0300,[Fe/H],4.490000,292.0847866,49.2374206,568.48700000,14.1237000
2305,Kepler-1118 b,Kepler-1118,1,1,0,Transit,2016,Kepler,38.67150750000,0.2079000000,2.74000000,0.24444643,7.95000000,0.02500000,M-R relationship,0.000000,20.0110,502.00,,5688.00,0.970000,0.960000,0.0000,[Fe/H],4.460000,299.9656619,44.1608805,888.32500000,14.9560000
2306,Kepler-1119 b,Kepler-1119,1,1,0,Transit,2016,Kepler,8.32651530000,0.0812000000,1.92000000,0.17129093,4.35000000,0.01370000,M-R relationship,0.000000,182.6900,938.00,,6083.00,1.170000,1.110000,0.0300,[Fe/H],4.350000,297.0191018,44.3274936,1757.23000000,15.0671000
2307,Kepler-112 b,Kepler-112,1,2,0,Transit,2014,Kepler,8.40887800000,0.0760000000,2.36000000,0.21100000,6.17000000,0.01940000,M-R relationship,0.000000,123.8180,809.00,,5544.00,0.841000,0.782000,-0.5221,[M/H],4.506000,296.9811361,43.2097025,513.20600000,13.7662000
2308,Kepler-112 c,Kepler-112,1,2,0,Transit,2014,Kepler,28.57426300000,0.1720000000,2.40000000,0.21400000,6.35000000,0.02000000,M-R relationship,0.000000,24.2550,538.00,,5544.00,0.841000,0.782000,-0.5221,[M/H],4.506000,296.9811361,43.2097025,513.20600000,13.7662000
2309,Kepler-1120 b,Kepler-1120,1,1,0,Transit,2016,Kepler,2.94902905200,0.0369000000,1.38000000,0.12311535,2.48000000,0.00780000,M-R relationship,0.000000,206.8740,1027.00,,4904.00,0.740000,0.780000,-0.0400,[Fe/H],4.600000,290.9144516,42.2865522,615.23100000,15.3045000
2310,Kepler-1121 b,Kepler-1121,1,1,0,Transit,2016,Kepler,13.15141081000,0.1181800000,1.91000000,0.17039879,4.31000000,0.01360000,M-R relationship,0.000000,205.2720,1008.00,,6231.00,1.590000,1.290000,0.1200,[Fe/H],4.140000,297.7865467,47.8861542,482.04700000,12.0170000
2311,Kepler-1122 b,Kepler-1122,1,1,0,Transit,2016,Kepler,42.19173570000,0.2315000000,2.04000000,0.18199661,4.82000000,0.01520000,M-R relationship,0.000000,23.2630,526.00,,5544.00,0.890000,0.920000,-0.0300,[Fe/H],4.510000,288.2805801,46.3408747,1230.42000000,15.1025000
2312,Kepler-1123 b,Kepler-1123,1,1,0,Transit,2016,Kepler,4.33946454000,0.0497000000,1.67000000,0.14898742,3.43000000,0.01080000,M-R relationship,0.000000,190.0160,1061.00,,5500.00,0.900000,0.930000,0.0500,[Fe/H],4.500000,294.5177291,50.6703927,704.32300000,14.8069000
2313,Kepler-1124 b,Kepler-1124,1,1,0,Transit,2016,Kepler,2.85234897500,0.0305000000,1.28000000,0.11419395,2.18000000,0.00687000,M-R relationship,0.000000,50.7770,621.00,,3658.00,0.340000,0.350000,-0.5900,[Fe/H],4.930000,286.5942529,37.8912836,289.89900000,15.9678000
2314,Kepler-1125 b,Kepler-1125,1,1,0,Transit,2016,Kepler,17.67006420000,0.1348000000,1.84000000,0.16415380,4.04000000,0.01270000,M-R relationship,0.000000,41.0400,778.00,,5683.00,0.940000,0.950000,-0.0900,[Fe/H],4.470000,295.4812018,40.7319316,2011.41000000,14.8766000
2315,Kepler-1126 b,Kepler-1126,1,2,0,Transit,2016,Kepler,108.59332900000,0.4125100000,1.73000000,0.15434026,3.64000000,0.01150000,M-R relationship,0.000000,4.5500,374.00,,5798.00,0.930000,0.920000,-0.2600,[Fe/H],4.460000,285.6919550,45.6893993,635.73600000,14.0207000
2316,Kepler-1126 c,Kepler-1126,1,2,0,Transit,2023,Kepler,199.66876000000,0.6193000000,1.45000000,0.12936056,2.70000000,0.00849000,M-R relationship,0.000000,2.0600,305.00,,5678.00,0.921000,0.794000,-0.4000,[Fe/H],4.409000,285.6919550,45.6893993,635.73600000,14.0207000
2317,Kepler-1127 b,Kepler-1127,1,1,0,Transit,2016,Kepler,5.12330347000,0.0556000000,1.96000000,0.17485949,4.50000000,0.01420000,M-R relationship,0.000000,160.7650,994.00,,5664.00,0.950000,0.970000,0.0400,[Fe/H],4.470000,293.2173563,42.7205846,842.45900000,15.1325000
2318,Kepler-1128 b,Kepler-1128,1,1,0,Transit,2016,Kepler,61.61781670000,0.3020000000,3.65000000,0.32563119,12.90000000,0.04070000,M-R relationship,0.000000,6.4510,424.00,,5543.00,0.910000,0.940000,0.0400,[Fe/H],4.500000,293.0633150,39.4034052,1083.41000000,15.6861000
2319,Kepler-1129 b,Kepler-1129,1,2,0,Transit,2016,Kepler,24.33978040000,0.1648100000,2.96000000,0.26407351,9.06000000,0.02850000,M-R relationship,0.000000,32.2650,737.00,,5831.00,1.000000,1.000000,-0.0400,[Fe/H],4.440000,291.6044965,41.3093275,1183.88000000,15.2572000
2320,Kepler-1129 c,Kepler-1129,1,2,0,Transit,2016,Kepler,76.53695860000,0.3536700000,2.73000000,0.24355429,7.90000000,0.02490000,M-R relationship,0.000000,7.0060,503.00,,5831.00,1.000000,1.000000,-0.0400,[Fe/H],4.440000,291.6044965,41.3093275,1183.88000000,15.2572000
2321,Kepler-113 b,Kepler-113,1,2,0,Transit,2014,Kepler,4.75400000000,0.0512300000,1.82000000,0.16200000,11.70000000,0.03700000,Mass,0.000000,105.3330,775.00,,4725.00,0.690000,0.750000,0.0500,[Fe/H],4.636000,287.9978721,50.9441847,262.35100000,13.4598000
2322,Kepler-113 c,Kepler-113,1,2,0,Transit,2014,Kepler,8.92507000000,0.0779600000,2.18000000,0.19400000,8.70000000,0.02737312,Mass,0.000000,45.5960,628.00,,4725.00,0.690000,0.750000,0.0500,[Fe/H],4.636000,287.9978721,50.9441847,262.35100000,13.4598000
2323,Kepler-1130 b,Kepler-1130,2,3,0,Transit,2016,Kepler,5.45298175000,0.0596300000,0.80000000,0.07137122,0.43700000,0.00137000,M-R relationship,0.000000,162.6500,904.00,,5403.00,0.810000,0.900000,-0.0600,[Fe/H],4.570000,285.2074210,45.3843330,249.34300000,12.3956000
2324,Kepler-1130 c,Kepler-1130,2,3,0,Transit,2021,Kepler,3.26663994800,0.0423800000,0.79239584,0.07069294,0.42200000,0.00133000,M-R relationship,0.000000,316.9000,1072.00,,5450.00,0.842000,0.944000,0.1000,[Fe/H],4.563000,285.2074210,45.3843330,249.34300000,12.3956000
2325,Kepler-1130 d,Kepler-1130,2,3,0,Transit,2021,Kepler,4.27225017500,0.0506800000,0.64472273,0.05751841,0.20200000,0.00063400,M-R relationship,0.000000,221.4000,981.00,,5450.00,0.842000,0.944000,0.1000,[Fe/H],4.563000,285.2074210,45.3843330,249.34300000,12.3956000
2326,Kepler-1131 b,Kepler-1131,1,1,0,Transit,2016,Kepler,3.53232449000,0.0459000000,1.59000000,0.14185030,3.15000000,0.00993000,M-R relationship,0.000000,453.1420,1159.00,,5851.00,1.040000,1.030000,0.0500,[Fe/H],4.420000,295.6514492,49.2612954,1030.70000000,14.9375000
2327,Kepler-1132 b,Kepler-1132,1,1,0,Transit,2016,Kepler,62.89162280000,0.2881000000,2.35000000,0.20965296,6.12000000,0.01930000,M-R relationship,0.000000,4.5470,384.00,,5298.00,0.830000,0.870000,-0.0100,[Fe/H],4.550000,286.3675188,48.4238906,867.93100000,15.4722000
2328,Kepler-1133 b,Kepler-1133,1,1,0,Transit,2016,Kepler,11.55562343000,0.0983000000,1.97000000,0.17575163,4.54000000,0.01430000,M-R relationship,0.000000,55.7580,703.00,,5569.00,0.900000,0.930000,-0.0200,[Fe/H],4.500000,293.3224114,42.8674925,753.13500000,14.8099000
2329,Kepler-1134 b,Kepler-1134,1,1,0,Transit,2016,Kepler,17.13263989000,0.1242000000,2.64000000,0.23552502,7.46000000,0.02350000,M-R relationship,0.000000,29.8640,611.00,,5281.00,0.810000,0.840000,-0.1000,[Fe/H],4.560000,295.5678578,42.4781064,944.44500000,15.8249000
2330,Kepler-1135 b,Kepler-1135,1,1,0,Transit,2016,Kepler,76.95785700000,0.3436000000,1.85000000,0.16504595,4.08000000,0.01280000,M-R relationship,0.000000,25.7600,451.00,,5656.00,0.940000,0.960000,0.0200,[Fe/H],4.470000,286.0029904,44.7565551,1314.64000000,14.2953000
2331,Kepler-1136 b,Kepler-1136,1,1,0,Transit,2016,Kepler,2.36172432900,0.0299000000,1.64000000,0.14631100,3.33000000,0.01050000,M-R relationship,0.000000,150.0550,922.00,,4512.00,0.680000,0.720000,0.0300,[Fe/H],4.630000,284.1078441,44.2458047,491.40600000,15.6422000
2332,Kepler-1137 b,Kepler-1137,1,1,0,Transit,2016,Kepler,23.92107910000,0.1871000000,2.20000000,0.19627085,5.48000000,0.01720000,M-R relationship,0.000000,197.8460,1020.00,,6807.00,1.840000,1.500000,0.0500,[Fe/H],4.080000,287.1302407,48.6653470,921.77800000,12.6907000
2333,Kepler-1138 b,Kepler-1138,1,1,0,Transit,2016,Kepler,3.17060005000,0.0415000000,1.70000000,0.15166384,3.53000000,0.01110000,M-R relationship,0.000000,245.9040,1080.00,,5582.00,0.920000,0.950000,0.0400,[Fe/H],4.490000,285.8993164,48.3072850,872.32800000,15.3357000
2334,Kepler-1139 b,Kepler-1139,1,1,0,Transit,2016,Kepler,0.81316671900,0.0166400000,1.19000000,0.10616469,1.81000000,0.00570000,M-R relationship,0.000000,1717.2760,1693.00,,5550.00,0.910000,0.940000,0.0500,[Fe/H],4.500000,287.9455985,39.2305281,495.15600000,14.1349000
2335,Kepler-114 b,Kepler-114,1,3,0,Transit,2014,Kepler,5.18854900000,0.0530000000,1.26000000,0.11200000,1.09000000,0.00342952,Mass,0.000000,92.5350,586.00,M0 V,4605.00,0.667000,0.770000,0.2291,[M/H],4.650000,294.1214820,48.3497977,259.53300000,13.7125000
2336,Kepler-114 c,Kepler-114,1,3,0,Transit,2013,Kepler,8.04100000000,0.0648200000,1.60000000,0.14300000,2.80000000,0.00900000,Mass,0.000000,51.6230,507.00,M0 V,4660.00,0.540000,0.560000,0.2291,[M/H],4.720000,294.1214820,48.3497977,259.53300000,13.7125000
2337,Kepler-114 d,Kepler-114,1,3,0,Transit,2013,Kepler,11.77600000000,0.0835800000,2.53000000,0.22600000,3.90000000,0.01200000,Mass,0.000000,31.0160,446.00,M0 V,4660.00,0.540000,0.560000,0.2291,[M/H],4.720000,294.1214820,48.3497977,259.53300000,13.7125000
2338,Kepler-1140 b,Kepler-1140,1,1,0,Transit,2016,Kepler,24.08627070000,0.1478000000,2.77000000,0.24712285,8.10000000,0.02550000,M-R relationship,0.000000,13.0510,500.00,,4850.00,0.730000,0.760000,-0.0800,[Fe/H],4.610000,281.6940529,46.9465210,656.48000000,15.4527000
2339,Kepler-1141 b,Kepler-1141,1,1,0,Transit,2016,Kepler,2.34451194400,0.0349600000,0.82000000,0.07315550,0.47700000,0.00150000,M-R relationship,0.000000,1146.9530,1471.00,,5791.00,1.070000,1.010000,0.0400,[Fe/H],4.380000,290.5436836,47.7259073,393.64200000,12.3348000
2340,Kepler-1142 b,Kepler-1142,1,1,0,Transit,2016,Kepler,18.30272480000,0.1343000000,1.47000000,0.13114462,2.76000000,0.00869000,M-R relationship,0.000000,147.8170,902.00,,5685.00,0.960000,0.970000,0.0200,[Fe/H],4.460000,292.7144796,44.0822816,1273.51000000,14.2783000
2341,Kepler-1143 b,Kepler-1143,1,2,0,Transit,2016,Kepler,2.88890484900,0.0371000000,1.67000000,0.14898742,3.43000000,0.01080000,M-R relationship,0.000000,173.0560,976.00,,5053.00,0.770000,0.810000,-0.0600,[Fe/H],4.580000,287.3027720,39.2896399,555.18900000,15.1938000
2342,Kepler-1143 c,Kepler-1143,1,2,0,Transit,2016,Kepler,210.63059100000,0.6477000000,3.60000000,0.32117049,12.60000000,0.03980000,M-R relationship,0.000000,0.5680,234.00,,5053.00,0.770000,0.810000,-0.0600,[Fe/H],4.580000,287.3027720,39.2896399,555.18900000,15.1938000
2343,Kepler-1144 b,Kepler-1144,1,1,0,Transit,2016,Kepler,17.14647302000,0.1291000000,1.99000000,0.17753591,4.62000000,0.01450000,M-R relationship,0.000000,62.0610,811.00,,5753.00,0.960000,0.980000,-0.0300,[Fe/H],4.470000,290.0432936,47.2578857,1140.57000000,14.9125000
2344,Kepler-1145 b,Kepler-1145,1,1,0,Transit,2016,Kepler,3.97076766000,0.0443000000,1.40000000,0.12489963,2.54000000,0.00800000,M-R relationship,0.000000,198.4300,958.00,,5064.00,0.750000,0.790000,-0.1300,[Fe/H],4.590000,295.3081524,43.0444026,691.96100000,15.4499000
2345,Kepler-1146 b,Kepler-1146,1,1,0,Transit,2016,Kepler,2.35226579700,0.0325000000,1.23000000,0.10973325,2.04000000,0.00642000,M-R relationship,0.000000,227.9620,1019.00,,4692.00,0.700000,0.740000,-0.0600,[Fe/H],4.620000,286.7167120,47.4256580,703.03800000,15.8497000
2346,Kepler-1147 b,Kepler-1147,1,1,0,Transit,2016,Kepler,10.62784997000,0.0961000000,2.61000000,0.23284860,7.32000000,0.02300000,M-R relationship,0.000000,206.5630,872.00,,5941.00,1.140000,1.090000,0.1100,[Fe/H],4.360000,292.5474753,41.6429221,1657.36000000,15.3564000
2347,Kepler-1148 b,Kepler-1148,1,1,0,Transit,2016,Kepler,1.10446350900,0.0188000000,1.69000000,0.15077170,3.50000000,0.01100000,M-R relationship,0.000000,815.4070,1397.00,,5054.00,0.770000,0.810000,-0.0200,[Fe/H],4.580000,290.9536059,45.7195545,625.69200000,15.2812000
2348,Kepler-1149 b,Kepler-1149,1,1,0,Transit,2016,Kepler,3.73089898000,0.0473000000,1.44000000,0.12846820,2.67000000,0.00839000,M-R relationship,0.000000,653.8310,1128.00,,5833.00,1.010000,1.020000,0.0200,[Fe/H],4.430000,294.1891824,45.1515263,1217.73000000,14.9307000
2349,Kepler-115 b,Kepler-115,1,2,0,Transit,2014,Kepler,2.40367900000,0.0360000000,1.09000000,0.09700000,1.32000000,0.00416000,M-R relationship,0.000000,1215.7570,1489.00,,5979.00,1.205000,1.042000,-0.0499,[M/H],4.306000,297.7119299,45.2619850,623.60900000,13.3925000
2350,Kepler-115 c,Kepler-115,1,2,0,Transit,2014,Kepler,8.99088900000,0.0870000000,2.60000000,0.23200000,7.27000000,0.02290000,M-R relationship,0.000000,209.1010,960.00,,5979.00,1.205000,1.042000,-0.0499,[M/H],4.306000,297.7119299,45.2619850,623.60900000,13.3925000
2351,Kepler-1150 b,Kepler-1150,2,1,0,Transit,2016,Kepler,2.78786838600,0.0382000000,1.02000000,0.09099830,1.04000000,0.00328000,M-R relationship,0.000000,153.7410,1432.00,,4754.00,0.720000,0.760000,0.0100,[Fe/H],4.610000,296.7244553,49.5326846,358.51800000,14.4231000
2352,Kepler-1151 b,Kepler-1151,1,1,0,Transit,2016,Kepler,65.64784240000,0.3197000000,2.22000000,0.19805513,5.56000000,0.01750000,M-R relationship,0.000000,4.8600,485.00,,5470.00,0.850000,0.880000,-0.1100,[Fe/H],4.530000,292.2477819,47.8784257,682.43600000,14.8569000
2353,Kepler-1152 b,Kepler-1152,1,1,0,Transit,2016,Kepler,1.64680190800,0.0223000000,0.87000000,0.07761620,0.59000000,0.00186000,M-R relationship,0.000000,139.6010,806.00,,3964.00,0.530000,0.550000,-0.2500,[Fe/H],4.730000,290.4341483,44.1077802,215.23300000,14.5976000
2354,Kepler-1153 b,Kepler-1153,1,1,0,Transit,2016,Kepler,1.75583532700,0.0277000000,1.73000000,0.15434026,3.64000000,0.01150000,M-R relationship,0.000000,761.8080,1343.00,,5470.00,0.880000,0.910000,0.0300,[Fe/H],4.520000,289.1471849,45.8661300,1119.49000000,15.7976000
2355,Kepler-1154 b,Kepler-1154,1,2,0,Transit,2016,Kepler,5.18561420000,0.0631000000,2.34000000,0.20876082,6.08000000,0.01910000,M-R relationship,0.000000,652.9660,1314.00,,6327.00,1.430000,1.260000,0.0400,[Fe/H],4.230000,297.4771158,39.8772345,1460.10000000,14.7792000
2356,Kepler-1154 c,Kepler-1154,1,2,0,Transit,2016,Kepler,8.45808312000,0.0875000000,2.36000000,0.21054510,6.17000000,0.01940000,M-R relationship,0.000000,339.5730,1117.00,,6327.00,1.430000,1.260000,0.0400,[Fe/H],4.230000,297.4771158,39.8772345,1460.10000000,14.7792000
2357,Kepler-1155 b,Kepler-1155,1,1,0,Transit,2016,Kepler,33.46974300000,0.2006000000,2.03000000,0.18110447,4.78000000,0.01500000,M-R relationship,0.000000,32.5200,609.00,,5842.00,1.030000,1.030000,0.0400,[Fe/H],4.430000,288.8206058,39.5228712,1128.72000000,14.7392000
2358,Kepler-1156 b,Kepler-1156,1,1,0,Transit,2016,Kepler,11.89520511000,0.0970400000,1.32000000,0.11776251,2.30000000,0.00724000,M-R relationship,0.000000,83.0140,787.00,,5778.00,1.000000,1.000000,0.0200,[Fe/H],4.440000,288.9240901,46.0575865,691.33100000,14.1258000
2359,Kepler-1157 b,Kepler-1157,1,1,0,Transit,2016,Kepler,4.45743164000,0.0448000000,1.09000000,0.09724329,1.32000000,0.00416000,M-R relationship,0.000000,95.4430,732.00,,4679.00,0.710000,0.760000,0.0500,[Fe/H],4.620000,283.1209268,43.5255701,342.14400000,14.3769000
2360,Kepler-1158 b,Kepler-1158,1,1,0,Transit,2016,Kepler,13.53962930000,0.1264300000,2.34000000,0.20876082,6.08000000,0.01910000,M-R relationship,0.000000,449.6990,1079.00,,6203.00,1.950000,1.410000,0.1800,[Fe/H],4.010000,292.2339048,41.5751832,1484.25000000,13.5744000
2361,Kepler-1159 b,Kepler-1159,1,1,0,Transit,2016,Kepler,22.70816791000,0.1603000000,2.37000000,0.21143724,6.21000000,0.01950000,M-R relationship,0.000000,80.9840,677.00,,6217.00,1.280000,1.190000,0.0400,[Fe/H],4.300000,294.2663250,45.2042317,1213.71000000,14.5451000
2362,Kepler-116 b,Kepler-116,1,2,0,Transit,2014,Kepler,5.96873400000,0.0690000000,3.42000000,0.30500000,11.60000000,0.03640000,M-R relationship,0.000000,594.4510,1251.00,,6142.00,1.454000,1.198000,0.0700,[Fe/H],4.196000,294.7420605,43.5367842,955.16800000,13.6894000
2363,Kepler-116 c,Kepler-116,1,2,0,Transit,2014,Kepler,13.07163000000,0.1160000000,2.30000000,0.20500000,5.90000000,0.01860000,M-R relationship,0.000000,208.9820,964.00,,6142.00,1.454000,1.198000,0.0700,[Fe/H],4.196000,294.7420605,43.5367842,955.16800000,13.6894000
2364,Kepler-1160 b,Kepler-1160,1,1,0,Transit,2016,Kepler,7.97034958000,0.0755000000,2.14000000,0.19091801,5.22000000,0.01640000,M-R relationship,0.000000,93.3080,839.00,,5519.00,0.890000,0.920000,0.0100,[Fe/H],4.510000,287.8793899,43.3640752,1077.63000000,15.8003000
2365,Kepler-1161 b,Kepler-1161,1,1,0,Transit,2016,Kepler,10.71252541000,0.0784000000,2.13000000,0.19002587,5.18000000,0.01630000,M-R relationship,0.000000,26.2290,485.00,,4253.00,0.570000,0.590000,-0.3500,[Fe/H],4.700000,299.0770621,45.4405583,547.72600000,15.8004000
2366,Kepler-1162 b,Kepler-1162,1,2,0,Transit,2016,Kepler,32.56370690000,0.1900000000,2.21000000,0.19716299,5.52000000,0.01740000,M-R relationship,0.000000,12.2450,490.00,,5390.00,0.840000,0.890000,-0.0300,[Fe/H],4.540000,283.2920273,45.4339813,940.21100000,15.4855000
2367,Kepler-1162 c,Kepler-1162,1,2,0,Transit,2023,Kepler,59.28406400000,0.2832000000,1.81000000,0.16147766,3.93000000,0.01240000,M-R relationship,0.000000,6.1400,401.00,,5225.00,0.859000,0.861000,0.1400,[Fe/H],4.505000,283.2920273,45.4339813,940.21100000,15.4855000
2368,Kepler-1163 b,Kepler-1163,1,1,0,Transit,2016,Kepler,6.11786898000,0.0686800000,1.03000000,0.09189045,1.08000000,0.00340000,M-R relationship,0.000000,511.7570,1211.00,,6302.00,1.350000,1.220000,0.0200,[Fe/H],4.260000,290.2358630,50.0300654,478.64700000,12.1183000
2369,Kepler-1164 b,Kepler-1164,1,1,0,Transit,2016,Kepler,3.97599768000,0.0463500000,1.12000000,0.09991971,1.46000000,0.00459000,M-R relationship,0.000000,181.2050,936.00,,5183.00,0.790000,0.850000,-0.0300,[Fe/H],4.570000,287.5296372,38.8945065,431.62200000,14.0899000
2370,Kepler-1165 b,Kepler-1165,1,2,0,Transit,2016,Kepler,9.47852200000,0.0914000000,1.55000000,0.13828174,3.02000000,0.00951000,M-R relationship,0.000000,464.7730,946.00,,6080.00,1.180000,1.130000,0.0500,[Fe/H],4.340000,286.9712284,44.7082669,1575.20000000,14.3923000
2371,Kepler-1165 c,Kepler-1165,1,2,0,Transit,2021,Kepler,29.96870041000,0.1969000000,3.36093385,0.29984295,11.20000000,0.03540000,M-R relationship,0.000000,40.7600,644.00,,6249.00,1.076000,1.130000,-0.0400,[Fe/H],4.428000,286.9712284,44.7082669,1575.20000000,14.3923000
2372,Kepler-1166 b,Kepler-1166,1,1,0,Transit,2016,Kepler,33.24068820000,0.1975000000,1.69000000,0.15077170,3.50000000,0.01100000,M-R relationship,0.000000,14.1880,486.00,,5446.00,0.860000,0.900000,-0.0200,[Fe/H],4.530000,290.3484956,50.9028387,634.90600000,14.4660000
2373,Kepler-1167 b,Kepler-1167,1,1,0,Transit,2016,Kepler,1.00393373900,0.0175000000,1.71000000,0.15255598,3.57000000,0.01120000,M-R relationship,0.000000,1039.6970,1419.00,,4971.00,0.750000,0.790000,-0.0500,[Fe/H],4.600000,298.3026595,47.6939654,820.90500000,15.9292000
2374,Kepler-1168 b,Kepler-1168,1,1,0,Transit,2016,Kepler,55.82265390000,0.2663000000,2.50000000,0.22303506,6.80000000,0.02140000,M-R relationship,0.000000,4.1070,379.00,,5157.00,0.820000,0.870000,0.1300,[Fe/H],4.560000,287.2977834,47.4554880,752.66600000,15.6088000
2375,Kepler-1169 b,Kepler-1169,1,1,0,Transit,2016,Kepler,6.11009134000,0.0693100000,0.94000000,0.08386118,0.77900000,0.00245000,M-R relationship,0.000000,348.0460,1125.00,,6191.00,1.230000,1.240000,0.2600,[Fe/H],4.350000,294.9115874,46.4914718,522.82300000,12.6852000
2376,Kepler-117 b,Kepler-117,1,2,0,Transit,2014,Kepler,18.79592280000,0.1445000000,8.05900000,0.71900000,29.87500000,0.09400000,Mass,0.049300,157.5410,984.00,F8 V,6150.00,1.606000,1.129000,-0.0400,[Fe/H],4.102000,288.7930651,48.0401760,1455.57000000,14.2472000
2377,Kepler-117 c,Kepler-117,1,2,0,Transit,2014,Kepler,50.79039100000,0.2804000000,12.34100000,1.10100000,584.78000000,1.84000000,Mass,0.032300,41.8630,704.00,F8 V,6150.00,1.606000,1.129000,-0.0400,[Fe/H],4.102000,288.7930651,48.0401760,1455.57000000,14.2472000
2378,Kepler-1170 b,Kepler-1170,1,1,0,Transit,2016,Kepler,9.98969327000,0.0880000000,2.41000000,0.21500580,6.39000000,0.02010000,M-R relationship,0.000000,69.5370,705.00,,5069.00,0.760000,0.800000,-0.0900,[Fe/H],4.580000,292.1685422,43.7795963,1050.45000000,15.9093000
2379,Kepler-1171 b,Kepler-1171,1,1,0,Transit,2016,Kepler,1.44259224000,0.0284000000,2.56000000,0.22838790,7.08000000,0.02230000,M-R relationship,0.000000,10171.0050,2700.00,,7044.00,1.950000,1.580000,-0.0100,[Fe/H],4.050000,294.9589285,38.5915968,573.00000000,11.4587000
2380,Kepler-1172 b,Kepler-1172,1,1,0,Transit,2016,Kepler,26.02044230000,0.1680000000,3.20000000,0.28548488,10.30000000,0.03250000,M-R relationship,0.000000,26.3560,675.00,,5558.00,0.890000,0.920000,-0.0400,[Fe/H],4.510000,290.4744875,37.7665499,1306.53000000,15.8463000
2381,Kepler-1173 b,Kepler-1173,1,1,0,Transit,2016,Kepler,0.76985360000,0.0156000000,0.89000000,0.07940048,0.64000000,0.00201000,M-R relationship,0.000000,1462.0980,1650.00,,5252.00,0.820000,0.860000,0.0000,[Fe/H],4.550000,293.1311803,45.6634153,377.06000000,13.8043000
2382,Kepler-1174 b,Kepler-1174,1,1,0,Transit,2016,Kepler,6.89225223000,0.0732000000,1.59000000,0.14185030,3.15000000,0.00993000,M-R relationship,0.000000,641.8140,1156.00,,5936.00,1.040000,1.040000,-0.0400,[Fe/H],4.420000,281.8314296,42.2988910,1408.75000000,14.1590000
2383,Kepler-1175 b,Kepler-1175,1,1,0,Transit,2016,Kepler,37.94563000000,0.2181000000,2.99000000,0.26674993,9.22000000,0.02900000,M-R relationship,0.000000,12.9380,515.00,,5453.00,0.860000,0.900000,-0.0400,[Fe/H],4.530000,289.1426847,46.8129656,1121.89000000,15.9163000
